FID,Descriptio,Actual_Fin,Address,Location,X,Y,x2,y2
1,EMERGENCY LEAK,12/18/2022 12:00:00 AM,1315 S. STATE ST SYRACUSE NY,S STATE ST 1300,-8476654.595,5317287.269,-8476654.595,5317287.269
2,EMERGENCY LEAK,12/17/2022 12:00:00 AM,"105 W Fayette St, Syracuse, New York, 13202","105 W Fayette St, Syracuse, New York, 13202",-8477279.836,5319391.24,-8477279.836,5319391.24
3,REPAIR MAIN,12/16/2022 12:00:00 AM,Elmhurst Ave@Hunt Ave Syracuse NY,Elmhurst Ave@Hunt Ave Syracuse NY,-8477617.08561,5315161.19346,-8477617.08561,5315161.19346
4,EMERGENCY LEAK,12/13/2022 12:00:00 AM,"Meadowbrook Dr & Hillsboro Pkwy, Syracuse, New York, 13224","Meadowbrook Dr & Hillsboro Pkwy, Syracuse, New York, 13224",-8470687.466,5318452.808,-8470687.466,5318452.808
5,EMERGENCY LEAK,12/10/2022 12:00:00 AM,"E. Fayette Street @ Croly Street Syracuse,NY",E FAYETTE ST 2100,-8472832.31,5319314.354,-8472832.31,5319314.354
6,EMERGENCY LEAK,12/9/2022 12:00:00 AM,"Brampton Rd & Coldbrook Dr,  Syracuse,  New York,  13205",Leak on Hydrant N/ W Corner,-8475893.785,5310828.086,-8475893.785,5310828.086
7,EMERGENCY LEAK,12/8/2022 12:00:00 AM,"1151 Glenwood Ave, Syracuse, New York, 13207","1151 Glenwood Ave, Syracuse, New York, 13207",-8480282.231,5315662.104,-8480282.231,5315662.104
8,EMERGENCY LEAK,12/6/2022 12:00:00 AM,"829 Northway St,  Syracuse,  New York,  13224",NORTHWAY ST 900,-8470504.887,5320030.215,-8470504.887,5320030.215
9,EMERGENCY LEAK,12/5/2022 12:00:00 AM,1232-36 W Genesee St Syracuse NY,1232-36 W Genesee St Syracuse NY,-8479967.895,5320079.309,-8479967.895,5320079.309
10,EMERGENCY LEAK,12/5/2022 12:00:00 AM,E Fayette St @ Westmoreland Ave Syracuse NY,E FAYETTE ST,-8473054.183,5319318.383,-8473054.183,5319318.383
11,REPLACE MAIN,12/5/2022 12:00:00 AM,308 Hurlburt Rd, ,-8471502.085,5317865.093,-8471502.085,5317865.093
12,REPLACE MAIN,12/5/2022 12:00:00 AM,317 Hurlburt Rd, ,-8471439.989,5317779.44,-8471439.989,5317779.44
13,EMERGENCY LEAK,12/5/2022 12:00:00 AM,"Kirkpatrick St & Basin St, Syracuse, New York, 13208","Kirkpatrick St & Basin St, Syracuse, New York, 13208",-8477860.487,5321566.291,-8477860.487,5321566.291
14,REPLACE MAIN,12/4/2022 12:00:00 AM,311 Hurlburt Rd, ,-8471420.739,5317869.776,-8471420.739,5317869.776
15,REPAIR MAIN,12/4/2022 12:00:00 AM,"218 Magnolia Street Syracuse,NY",#218 Magnolia Street,-8479686.849,5318676.566,-8479686.849,5318676.566
16,EMERGENCY LEAK,12/4/2022 12:00:00 AM,"1001 Hiawatha Blvd E, Syracuse, New York, 13208","1001 Hiawatha Blvd E, Syracuse, New York, 13208",-8477921.262,5324405.225,-8477921.262,5324405.225
17,EMERGENCY LEAK,11/30/2022 12:00:00 AM,139 Alden st Syracuse NY,ALDEN ST 100,-8475089.614,5314882.405,-8475089.614,5314882.405
18,EMERGENCY LEAK,11/28/2022 12:00:00 AM,"221 Fayette Blvd. Syracuse,NY",FAYETTE BLVD 200,-8471292.042,5319463.472,-8471292.042,5319463.472
19,EMERGENCY LEAK,11/28/2022 12:00:00 AM,"Spencer St, Syracuse, New York, 13204",MIDDLE OF INTERSECTION OF SPENCER ST @ N.STATE ST ---LEAK WAS ON THE (6"") MAIN ON THE SPENCER  ST SIDE-- STUB.,-8477590.348,5321288.976,-8477590.348,5321288.976
20,EMERGENCY LEAK,11/28/2022 12:00:00 AM,"1310 Jamesville Ave, Syracuse, New York, 13210","1310 Jamesville Ave, Syracuse, New York, 13210",-8474273.029,5313954.979,-8474273.029,5313954.979
21,EMERGENCY LEAK,11/19/2022 12:00:00 AM,"509 Erie Blvd W Syracuse, NY",509 Erie Blvd W.,-8478290.265,5319526.72,-8478290.265,5319526.72
22,EMERGENCY LEAK,11/17/2022 12:00:00 AM,"S Salina St & W Florence Ave,  Syracuse,  New York,  13205",S SALINA ST 4300,-8476198.537,5313000.05,-8476198.537,5313000.05
23,EMERGENCY LEAK,11/15/2022 12:00:00 AM,"201 Janet Drive Syracuse, NY13204",JANET DR 200,-8472262.901,5317005.198,-8472262.901,5317005.198
24,EMERGENCY LEAK,11/14/2022 12:00:00 AM,"450 Tracy St, Syracuse, New York, 13204","450 Tracy St, Syracuse, New York, 13204",-8478590.679,5319536.619,-8478590.679,5319536.619
25,EMERGENCY LEAK,11/14/2022 12:00:00 AM,"N Townsend St & E Willow St,  Syracuse,  New York,  13203","N Townsend St & E Willow St,  Syracuse,  New York,  13203 Syracuse 13203",-8476604.08038,5320263.3661,-8476604.08038,5320263.3661
26,EMERGENCY LEAK,11/14/2022 12:00:00 AM,"137 W Glen Ave, Syracuse, New York, 13205",W GLEN AV 100,-8476451.055,5312818.528,-8476451.055,5312818.528
27,EMERGENCY LEAK,11/14/2022 12:00:00 AM,"521 Erie Blvd W, Syracuse, New York, 13204","Erie Blvd W & Leavenworth Ave,  Syracuse,  New York,  13204 Syracuse 13204",-8478372.10654,5319439.62712,-8478372.10654,5319439.62712
28,EMERGENCY LEAK,11/12/2022 12:00:00 AM,N Townsend St @ E Willow St Syracuse NY,N/W Corner,-8476615.798,5320267.313,-8476615.798,5320267.313
29,EMERGENCY LEAK,11/8/2022 12:00:00 AM,100 Lynch St,HYDRANT BRANCH,-8473687.528,5319745.552,-8473687.528,5319745.552
30,EMERGENCY LEAK,11/6/2022 12:00:00 AM,"Comstock Ave & E Colvin St,  Syracuse,  New York,  13210",COMSTOCK AV 1100,-8474602.117,5315522.305,-8474602.117,5315522.305
31,EMERGENCY LEAK,10/29/2022 12:00:00 AM,"215 Pattison St, Syracuse, New York, 13203","215 Pattison St, Syracuse, New York, 13203",-8474354.76,5320956.443,-8474354.76,5320956.443
32,EMERGENCY LEAK,10/26/2022 12:00:00 AM,Grant Blvd. @ George St,Grant Blvd. @ George St,-8473580.63,5322713.298,-8473580.63,5322713.298
33,EMERGENCY LEAK,10/25/2022 12:00:00 AM,313 Parrish Ln,313 Parrish Ln,-8475695.212,5309887.114,-8475695.212,5309887.114
34,EMERGENCY LEAK,10/24/2022 12:00:00 AM,"405 N McBride St,  Syracuse,  New York,  13203",N MCBRIDE ST 400,-8476416.543,5320305.233,-8476416.543,5320305.233
35,EMERGENCY LEAK,10/20/2022 12:00:00 AM,800 N Clinton St Syracuse,SPENCER ST 200,-8477914.524,5321148.64,-8477914.524,5321148.64
36,EMERGENCY LEAK,10/19/2022 12:00:00 AM,Across from 719 Harrison St.,Across from 719 Harrison St.,-8475951.8,5318701.005,-8475951.8,5318701.005
37,REPAIR MAIN,10/19/2022 12:00:00 AM,Spencer St & N Clinton ST,SPENCER ST 100,-8477813.806,5321226.466,-8477813.806,5321226.466
38,REPAIR MAIN,10/19/2022 12:00:00 AM,689 N Clinton St Syracuse NY,FRONT OF 689 N. CLINTON ST--(8"") MAIN,-8477679.22,5320903.892,-8477679.22,5320903.892
39,EMERGENCY LEAK,10/14/2022 12:00:00 AM,S. State @ E. Taylor St.,N/E Corner of intersection,-8476695.41,5318008.951,-8476695.41,5318008.951
40,EMERGENCY LEAK,10/13/2022 12:00:00 AM,418 Brookford Rd.,418 Brookford Rd.,-8471138.14,5317434.306,-8471138.14,5317434.306
41,EMERGENCY LEAK,10/9/2022 12:00:00 AM,"800 East Raynor Ave Syracuse,NY",East Raynor Ave @ Irving Ave (Inside Bilco Doors),-8475684.653,5317426.949,-8475684.653,5317426.949
42,EMERGENCY LEAK,10/9/2022 12:00:00 AM,"Meadowbrook Dr & Crawford Ave,  Syracuse,  New York,  13224",CRAWFORD AV 200,-8472447.093,5317897.497,-8472447.093,5317897.497
43,EMERGENCY LEAK,10/9/2022 12:00:00 AM,"980 Hiawatha Blvd W,  Syracuse,  New York,  13204",HIAWATHA BLVD W 1000,-8480728.255,5320615.781,-8480728.255,5320615.781
44,EMERGENCY LEAK,10/9/2022 12:00:00 AM,"901-913  W Belden Ave, Syracuse, New York, 13204",901-913 W.BELDEN AVE,-8478859.198,5320331.203,-8478859.198,5320331.203
45,EMERGENCY LEAK,10/3/2022 12:00:00 AM,"337 N Beech St,  Syracuse,  New York,  13203","337 N Beech St,  Syracuse,  New York,  13203 Syracuse 13203",-8474509.19075,5320284.64,-8474509.19075,5320284.64
46,EMERGENCY LEAK,10/3/2022 12:00:00 AM,100 Kirkpatrick St.,On Basin St side of property,-8477853.74,5321552.33,-8477853.74,5321552.33
47,EMERGENCY LEAK,9/23/2022 12:00:00 AM,303 W. Matson AVe.,303 W. Matson AVe.,-8476888.104,5313927.861,-8476888.104,5313927.861
48,EMERGENCY LEAK,9/21/2022 12:00:00 AM,"311 Strathmore Dr,  Syracuse,  New York,  13207","311 Strathmore Dr,  Syracuse,  New York,  13207 Syracuse 13207",-8479507.992,5315030.972,-8479507.992,5315030.972
49,REPAIR MAIN,9/21/2022 12:00:00 AM,"206 Herbert St, Syracuse, New York, 13208","206 Herbert St, Syracuse, New York, 13208",-8476849.088,5322291.466,-8476849.088,5322291.466
50,EMERGENCY LEAK,9/20/2022 12:00:00 AM,100 Janet Dr.,In Front of 100 Janet Dr.,-8472295.247,5317251.883,-8472295.247,5317251.883
51,REPAIR MAIN,9/13/2022 12:00:00 AM,208 Slocum Ave Syracuse,SLOCUM AV 200,-8478191.021,5318134.671,-8478191.021,5318134.671
52,EMERGENCY LEAK,9/10/2022 12:00:00 AM,"219 Beecher St, Syracuse, New York, 13203", ,-8475851.609,5321285.751,-8475851.609,5321285.751
53,EMERGENCY LEAK,9/9/2022 12:00:00 AM,"E Water St & Pine St, Syracuse, New York, 13210",E WATER ST 1300,-8474714.231,5319616.267,-8474714.231,5319616.267
54,EMERGENCY LEAK,9/1/2022 12:00:00 AM,313 Hudson St.,313 Hudson St.,-8478087.284,5316765.646,-8478087.284,5316765.646
55,EMERGENCY LEAK,9/1/2022 12:00:00 AM,800-08 E. Fayette St.,Mid-Block,-8475791.435,5319356.103,-8475791.435,5319356.103
56,EMERGENCY LEAK,9/1/2022 12:00:00 AM,"110 Burlingame Rd, Syracuse, New York, 13203",BURLINGAME RD 100,-8475081.297,5321555.385,-8475081.297,5321555.385
57,REPAIR MAIN,8/31/2022 12:00:00 AM,"329 Elm St, Syracuse, New York, 13203","329 Elm St, Syracuse, New York, 13203",-8474779.881,5320129.309,-8474779.881,5320129.309
58,EMERGENCY LEAK,8/30/2022 12:00:00 AM,"137 Wheaton Rd, Syracuse, New York, 13203",WHEATON RD 100,-8474332.589,5322475.396,-8474332.589,5322475.396
59,EMERGENCY LEAK,8/25/2022 12:00:00 AM,"720 University Ave, Syracuse, New York, 13210",UNIVERSITY AV 700,-8475245.943,5318357.291,-8475245.943,5318357.291
60,EMERGENCY LEAK,8/19/2022 12:00:00 AM,"1807 W Colvin St,  Syracuse,  New York,  13207","1807 W Colvin St,  Syracuse,  New York,  13207 Syracuse 13207",-8478918.224,5315394.223,-8478918.224,5315394.223
61,EMERGENCY LEAK,8/17/2022 12:00:00 AM,"Woodruff Ave & Scoville Ave, Syracuse, New York, 13203",NORTH EAST CORNER HYDRANT BRANCH LEAK,-8475609.621,5322541.084,-8475609.621,5322541.084
62,EMERGENCY LEAK,8/17/2022 12:00:00 AM,"809 Danforth St, Syracuse, New York, 13208","809 Danforth St, Syracuse, New York, 13208",-8477446.166,5322787.781,-8477446.166,5322787.781
63,EMERGENCY LEAK,8/7/2022 12:00:00 AM,"Jamesville Ave & Thayer St, Syracuse, New York, 13210",JAMESVILLE AV,-8474519.246,5314341.259,-8474519.246,5314341.259
64,EMERGENCY LEAK,8/6/2022 12:00:00 AM,"110 N Geddes St,  Syracuse,  New York,  13204",ACROSS FROM 110 N.GEDDES ST(FIRE STATION #5),-8479309.557,5319330.746,-8479309.557,5319330.746
65,EMERGENCY LEAK,8/5/2022 12:00:00 AM,441 W. Kennedy St,W KENNEDY ST 400,-8478029.092,5316278.683,-8478029.092,5316278.683
66,EMERGENCY LEAK,8/5/2022 12:00:00 AM,"E Genesee St & Dewitt Rd, Syracuse, New York, 13214","E Genesee St & Dewitt Rd, Syracuse, New York, 13214",-8469671.207,5318222.853,-8469671.207,5318222.853
67,EMERGENCY LEAK,8/5/2022 12:00:00 AM,"332 Farmer St, Syracuse, New York, 13203", ,-8474870.116,5321804.236,-8474870.116,5321804.236
68,EMERGENCY LEAK,8/3/2022 12:00:00 AM,"321 Craig St,  Syracuse,  New York,  13208",CRAIG ST 300,-8476531.911,5322758.536,-8476531.911,5322758.536
69,EMERGENCY LEAK,8/3/2022 12:00:00 AM,"945 Meadowbrook Dr, Syracuse, New York, 13224","945 Meadowbrook Dr, Syracuse, New York, 13224",-8472701.30387,5317159.70261,-8472701.30387,5317159.70261
70,EMERGENCY LEAK,7/28/2022 12:00:00 AM,2714 Erie Blvd E.,2714 Erie Blvd E.,-8471062.602,5320239.47,-8471062.602,5320239.47
71,EMERGENCY LEAK,7/28/2022 12:00:00 AM,120 Wilkinson St.,120 Wilkinson St.,-8478243.805,5319704.995,-8478243.805,5319704.995
72,EMERGENCY LEAK,7/26/2022 12:00:00 AM,"713 S Crouse Ave,  Syracuse,  New York,  13210",S CROUSE AV 700,-8475488.501,5318412.37,-8475488.501,5318412.37
73,EMERGENCY LEAK,7/26/2022 12:00:00 AM,945 Meadowbrook Dr,MEADOWBROOK DR 900,-8472680.868,5317166.496,-8472680.868,5317166.496
74,EMERGENCY LEAK,7/26/2022 12:00:00 AM,"707 Schuyler St ,  Syracuse,  New York,  13204",SCHUYLER ST 700,-8481632.895,5319166.68,-8481632.895,5319166.68
75,EMERGENCY LEAK,7/22/2022 12:00:00 AM,S. Clinton St. & W. Onondaga St.,N/E Corner of intersection,-8477360.627,5318690.515,-8477360.627,5318690.515
76,EMERGENCY LEAK,7/19/2022 12:00:00 AM,136 Ridgewood Dr,136 Ridgewood Dr,-8470745.067,5322311.473,-8470745.067,5322311.473
77,EMERGENCY LEAK,7/19/2022 12:00:00 AM,"406 Melrose Ave, Syracuse, New York, 13206",MELROSE AV 400,-8473324.075,5321794.365,-8473324.075,5321794.365
78,EMERGENCY LEAK,7/19/2022 12:00:00 AM,"321 Highland Ave,  Syracuse,  New York,  13203",HIGHLAND AV 300,-8475234.934,5321350.963,-8475234.934,5321350.963
79,EMERGENCY LEAK,7/18/2022 12:00:00 AM,Across from 435 S. Warren St.,Leak on Hydrant Branch,-8477081.769,5319035.581,-8477081.769,5319035.581
80,EMERGENCY LEAK,7/18/2022 12:00:00 AM,"100 Block of S State St,  Syracuse,  New York,  13202","100 Block of S State St,  Syracuse,  New York,  13202 Syracuse 13202",-8476697.40985,5319589.61207,-8476697.40985,5319589.61207
81,EMERGENCY LEAK,7/13/2022 12:00:00 AM,"Kinne St & Sunstruck Dr, Syracuse, New York, 13206",KINNE ST 100,-8473768.866,5321068.615,-8473768.866,5321068.615
82,EMERGENCY LEAK,7/6/2022 12:00:00 AM,4413 S. Salina St.,Leak on 16"" Main,-8476199.266,5312711.355,-8476199.266,5312711.355
83,EMERGENCY LEAK,7/5/2022 12:00:00 AM,Comstock Ave & Waverly,Entire Intersection,-8474773.509,5318180.223,-8474773.509,5318180.223
84,EMERGENCY LEAK,7/5/2022 12:00:00 AM,"1511 Westmoreland Ave, Syracuse, New York, 13210",WESTMORELAND AV 600,-8473024.779,5318757.873,-8473024.779,5318757.873
85,EMERGENCY LEAK,6/15/2022 12:00:00 AM,"Brookford Rd & Euclid Ave, Syracuse, New York, 13224",BROOKFORD RD,-8471497.522,5317655.329,-8471497.522,5317655.329
86,REPAIR MAIN,6/15/2022 12:00:00 AM,405 Cayuga St,IN front of 405 Cayuga St - Painted,-8481775.414,5319468.935,-8481775.414,5319468.935
87,EMERGENCY LEAK,6/12/2022 12:00:00 AM,"1128 E Washington St, Syracuse, New York, 13210","1128 E Washington St, Syracuse, New York, 13210",-8475048.306,5319477.339,-8475048.306,5319477.339
88,EMERGENCY LEAK,6/12/2022 12:00:00 AM,251-53 Ross Park,251-53 Ross Park,-8476565.934,5323638.848,-8476565.934,5323638.848
89,EMERGENCY LEAK,6/6/2022 12:00:00 AM,"300 Hiawatha Blvd E, Syracuse, New York, 13208",HIAWATHA BLVD E 300,-8478610.562,5323111.707,-8478610.562,5323111.707
90,EMERGENCY LEAK,6/2/2022 12:00:00 AM,"215 Lincoln Park Dr, Syracuse, New York, 13203","215 Lincoln Park Dr, Syracuse, New York, 13203",-8474726.992,5320797.689,-8474726.992,5320797.689
91,EMERGENCY LEAK,6/2/2022 12:00:00 AM,98 Xavier Cir.,98 Xavier Cir.,-8474761.002,5315014.626,-8474761.002,5315014.626
92,EMERGENCY LEAK,6/1/2022 12:00:00 AM,"871 Van Rensselaer St, Syracuse, New York, 13204",VAN RENSSELAER ST -BETWEEN W.BEARD ST & HIAWTHA BLVD W,-8479587.945,5321579.766,-8479587.945,5321579.766
93,EMERGENCY LEAK,5/27/2022 12:00:00 AM,156 Ross Park,156 Ross Park,-8476363.932,5323449.147,-8476363.932,5323449.147
94,EMERGENCY LEAK,5/27/2022 12:00:00 AM,"100 E Washington St, Syracuse, New York, 13202",BANK ST 100,-8477145.383,5319492.257,-8477145.383,5319492.257
95,EMERGENCY LEAK,5/27/2022 12:00:00 AM,"N Townsend St,  Syracuse,  New York,  13203",In Between James St & Willow St-- Across from pole #53,-8476562.897,5320202.542,-8476562.897,5320202.542
96,EMERGENCY LEAK,5/24/2022 12:00:00 AM,Lewis St.,Between Kingsley PL. & Emerson Ave.,-8481400.451,5320511.861,-8481400.451,5320511.861
97,EMERGENCY LEAK,5/23/2022 12:00:00 AM,"2016 Erie Blvd E, Syracuse, New York, 13224",ERIE BLVD E 2000,-8473030.777,5319760.437,-8473030.777,5319760.437
98,EMERGENCY LEAK,5/23/2022 12:00:00 AM,Wallace St (Harold PL & West Genesee),20 Feet South of Fire Hydrant on Wallace,-8477690.637,5320045.166,-8477690.637,5320045.166
99,EMERGENCY LEAK,5/23/2022 12:00:00 AM,122 Maywood Dr.,122 Maywood Dr.,-8475566.617,5312472.852,-8475566.617,5312472.852
100,EMERGENCY LEAK,5/23/2022 12:00:00 AM,"330 N Salina St, Syracuse, New York, 13203",PEARL ST 500,-8477157.955,5320386.295,-8477157.955,5320386.295
101,EMERGENCY LEAK,5/18/2022 12:00:00 AM,175 W. Brighton Ave,175 W. Brighton Ave,-8476516.88,5315072.091,-8476516.88,5315072.091
102,EMERGENCY LEAK,5/18/2022 12:00:00 AM,221 Grand Ave.,221 Grand Ave.,-8479787.637,5317942.778,-8479787.637,5317942.778
103,EMERGENCY LEAK,5/17/2022 12:00:00 AM,118 Alexander Ave,By Pole #6 (Across from 118 Alexander Ave.),-8477076.089,5317008.779,-8477076.089,5317008.779
104,EMERGENCY LEAK,5/15/2022 12:00:00 AM,911 W. Lafayette Ave,911 W. Lafayette Ave,-8477908.479,5314739.201,-8477908.479,5314739.201
105,EMERGENCY LEAK,5/15/2022 12:00:00 AM,"181 Fayette Blvd,  Syracuse,  New York,  13224",FAYETTE BLVD 100,-8471465.299,5319451.504,-8471465.299,5319451.504
106,EMERGENCY LEAK,5/9/2022 12:00:00 AM,505 S. State St,Water main leak in front of 505 S. State St,-8476695.234,5319175.378,-8476695.234,5319175.378
107,EMERGENCY LEAK,5/9/2022 12:00:00 AM,4th North St. & Hiawatha Blvd E.,N/W Corner of intersection,-8478176.96,5323968.073,-8478176.96,5323968.073
108,EMERGENCY LEAK,5/5/2022 12:00:00 AM,Argonne Dr. @ Reed Ave.,Argonne Dr. @ Reed Ave.,-8480403.22,5316062.251,-8480403.22,5316062.251
109,EMERGENCY LEAK,5/4/2022 12:00:00 AM,"555 S State St, Syracuse, New York, 13202",Leak on hyrdant branch -- Across from 555 S State St,-8476625.76491,5319005.47644,-8476625.76491,5319005.47644
110,EMERGENCY LEAK,5/4/2022 12:00:00 AM,100 N. McBride St.,in front of 690 on Ramp,-8476301.433,5319749.623,-8476301.433,5319749.623
111,REPAIR MAIN,5/3/2022 12:00:00 AM,402 HIxson Ave,In front of 402 Hixson Ave,-8473651.801,5321489.221,-8473651.801,5321489.221
112,EMERGENCY LEAK,5/2/2022 12:00:00 AM,2646 Erie Blvd E.,Near Pole #55,-8471198.629,5320217.977,-8471198.629,5320217.977
113,EMERGENCY LEAK,5/1/2022 12:00:00 AM,"800 S State St   Syracuse,  New York,  13202","S State St & Harrison St,  Syracuse,  New York,  13202 Syracuse 13202",-8476700.033,5318671.239,-8476700.033,5318671.239
